IP Address,Timestamp,Usage (Mbps)
192.168.1.10,09:29:15,12.03
192.168.1.10,09:29:16,42.31
192.168.1.10,09:29:17,43.13
192.168.1.10,09:29:18,26.85
192.168.1.10,09:29:19,43.86
192.168.1.10,09:29:20,34.22
192.168.1.10,09:29:21,51.82
192.168.1.10,09:29:22,68.27
192.168.1.10,09:29:23,27.97
192.168.1.10,09:29:24,61.54
192.168.1.10,09:29:25,48.31
192.168.1.10,09:29:26,41.88
192.168.1.10,09:29:27,53.13
192.168.1.10,09:29:29,43.69
192.168.1.10,09:29:29,26.92
192.168.1.10,09:29:31,21.22
192.168.1.10,09:29:31,68.08
192.168.1.10,09:29:32,22.21
192.168.1.10,09:29:33,66.31
192.168.1.10,09:29:35,13.78
192.168.1.10,09:29:36,33.98
192.168.1.10,09:29:37,24.0
192.168.1.10,09:29:37,36.8
192.168.1.10,09:29:38,18.61
192.168.1.10,09:29:39,28.46
192.168.1.10,09:29:40,43.76
192.168.1.10,09:29:40,33.44
192.168.1.10,09:29:41,82.64
192.168.1.10,09:29:42,64.76
192.168.1.10,09:29:43,45.37
192.168.1.10,09:29:44,83.71
192.168.1.10,09:29:45,85.56
192.168.1.10,09:29:46,32.09
192.168.1.10,09:29:47,51.09
192.168.1.10,09:29:48,75.79
192.168.1.10,09:29:49,34.9
192.168.1.10,09:29:50,50.07
192.168.1.10,09:29:51,40.71
192.168.1.10,09:29:52,60.52
192.168.1.10,09:29:53,15.83
192.168.1.10,09:29:54,51.42
192.168.1.10,09:29:55,79.49
192.168.1.10,09:29:56,12.92
192.168.1.10,09:29:57,59.17
192.168.1.10,09:29:58,68.3
192.168.1.10,09:29:59,76.5
192.168.1.10,09:30:00,62.09
192.168.1.10,09:30:01,77.6
192.168.1.10,09:30:02,40.98
192.168.1.10,09:30:03,16.24
192.168.1.15,09:29:15,44.76
192.168.1.15,09:29:16,24.11
192.168.1.15,09:29:17,18.75
192.168.1.15,09:29:18,6.26
192.168.1.15,09:29:19,26.74
192.168.1.15,09:29:20,13.26
192.168.1.15,09:29:21,24.21
192.168.1.15,09:29:22,38.29
192.168.1.15,09:29:23,21.03
192.168.1.15,09:29:24,28.19
192.168.1.15,09:29:25,29.32
192.168.1.15,09:29:26,8.38
192.168.1.15,09:29:27,6.59
192.168.1.15,09:29:29,7.86
192.168.1.15,09:29:29,29.07
192.168.1.15,09:29:31,38.26
192.168.1.15,09:29:31,33.63
192.168.1.15,09:29:32,38.64
192.168.1.15,09:29:33,42.11
192.168.1.15,09:29:35,26.13
192.168.1.15,09:29:36,26.11
192.168.1.15,09:29:37,32.57
192.168.1.15,09:29:37,41.33
192.168.1.15,09:29:38,18.45
192.168.1.15,09:29:39,6.8
192.168.1.15,09:29:40,18.91
192.168.1.15,09:29:40,44.08
192.168.1.15,09:29:41,12.7
192.168.1.15,09:29:42,18.47
192.168.1.15,09:29:43,27.45
192.168.1.15,09:29:44,30.23
192.168.1.15,09:29:45,12.1
192.168.1.15,09:29:46,15.98
192.168.1.15,09:29:47,6.92
192.168.1.15,09:29:48,5.07
192.168.1.15,09:29:49,11.38
192.168.1.15,09:29:50,18.84
192.168.1.15,09:29:51,22.1
192.168.1.15,09:29:52,25.76
192.168.1.15,09:29:53,25.68
192.168.1.15,09:29:54,8.43
192.168.1.15,09:29:55,7.56
